epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,57.5111,1.00393,0.85776,1.02297,0.36776,0.44244,0.34657,0.1963,1.46193,1.648,1.27646,0.00103288,0.00103288,0.00103288
58,58.486,1.00606,0.85862,1.02175,0.38558,0.3986,0.3328,0.18802,1.49893,1.74258,1.2821,0.00102581,0.00102581,0.00102581
59,59.4581,0.99941,0.85436,1.02331,0.36895,0.36777,0.30656,0.18522,1.50113,1.79091,1.28422,0.00101873,0.00101873,0.00101873
60,60.446,1.02864,0.87104,1.02477,0.36608,0.37207,0.29868,0.1846,1.49196,1.85811,1.29478,0.00101166,0.00101166,0.00101166
61,61.4032,1.03109,0.85223,1.02111,0.37296,0.38652,0.30127,0.19054,1.47764,1.85622,1.28874,0.00100459,0.00100459,0.00100459
62,62.3884,0.96127,0.83854,1.00609,0.38573,0.4091,0.31726,0.20131,1.4199,1.64994,1.26637,0.000997513,0.000997513,0.000997513
63,63.3898,1.01881,0.85159,1.0168,0.35594,0.41011,0.32512,0.20093,1.40532,1.59457,1.233,0.00099044,0.00099044,0.00099044
64,64.4177,1.02581,0.85326,1.01699,0.45657,0.39843,0.35698,0.21862,1.36497,1.50112,1.20942,0.000983366,0.000983366,0.000983366
65,65.3956,0.98589,0.85146,1.01355,0.43862,0.44891,0.34581,0.21017,1.37274,1.49607,1.23062,0.000976293,0.000976293,0.000976293
66,66.4329,1.02721,0.87307,1.04216,0.47287,0.36556,0.34377,0.20373,1.44166,1.63629,1.26832,0.000969219,0.000969219,0.000969219
67,67.4053,0.99844,0.83662,1.0061,0.42604,0.37136,0.35178,0.21164,1.47799,1.6633,1.29384,0.000962146,0.000962146,0.000962146
68,68.3803,0.97518,0.83724,1.01084,0.4325,0.40902,0.37034,0.22656,1.45784,1.59559,1.31043,0.000955072,0.000955072,0.000955072
69,69.3482,1.00151,0.80889,1.00875,0.46881,0.37762,0.36835,0.22644,1.41953,1.59778,1.27641,0.000947999,0.000947999,0.000947999
70,70.3443,0.96697,0.82284,1.00299,0.47416,0.40755,0.37734,0.23267,1.42061,1.66678,1.26118,0.000940925,0.000940925,0.000940925
71,71.3116,0.94591,0.80879,1.00097,0.42704,0.38814,0.36561,0.22261,1.41265,1.71043,1.26209,0.000933851,0.000933851,0.000933851
72,72.2926,0.92419,0.80217,1.0046,0.44738,0.33533,0.36719,0.22451,1.39147,1.64628,1.23852,0.000926778,0.000926778,0.000926778
73,73.2619,0.95963,0.79553,0.99501,0.33437,0.41413,0.36245,0.22306,1.40846,1.63113,1.24966,0.000919704,0.000919704,0.000919704
74,74.2289,0.99708,0.81166,1.00823,0.33127,0.42463,0.34391,0.20519,1.41807,1.62363,1.24049,0.000912631,0.000912631,0.000912631
75,75.1959,0.98104,0.79281,0.97574,0.39683,0.37455,0.32666,0.19264,1.45133,1.67629,1.27639,0.000905557,0.000905557,0.000905557
76,76.2218,0.93658,0.75395,0.97875,0.44212,0.41641,0.32834,0.19289,1.4388,1.67695,1.29205,0.000898484,0.000898484,0.000898484
77,77.1816,0.97374,0.77686,0.98923,0.42819,0.39657,0.32241,0.19888,1.44682,1.6711,1.30428,0.00089141,0.00089141,0.00089141
78,78.171,0.95684,0.77628,0.99062,0.50026,0.37487,0.34954,0.21319,1.43567,1.73336,1.29279,0.000884337,0.000884337,0.000884337
79,79.1297,0.95542,0.8317,1.00754,0.49607,0.39461,0.36723,0.20425,1.44656,1.89933,1.27391,0.000877263,0.000877263,0.000877263
80,80.1137,0.95604,0.80356,0.98579,0.47879,0.4114,0.37406,0.22305,1.47342,1.68913,1.27674,0.00087019,0.00087019,0.00087019
81,81.0862,0.94669,0.7798,0.991,0.42136,0.43657,0.34928,0.2256,1.45529,1.53924,1.29414,0.000863116,0.000863116,0.000863116
82,82.0959,0.93355,0.73467,0.96729,0.43128,0.42943,0.38409,0.23955,1.43834,1.50429,1.30929,0.000856042,0.000856042,0.000856042
83,83.069,0.93589,0.77672,0.97814,0.42941,0.44249,0.39549,0.23458,1.46748,1.54886,1.31718,0.000848969,0.000848969,0.000848969
84,84.0376,0.92077,0.77043,0.98727,0.47843,0.41773,0.36658,0.20609,1.51329,1.74953,1.33375,0.000841895,0.000841895,0.000841895
85,85.0082,0.92804,0.76637,0.97863,0.51542,0.38694,0.37007,0.20286,1.50296,1.78432,1.32496,0.000834822,0.000834822,0.000834822
86,86.0425,0.89814,0.75981,0.98929,0.49882,0.44317,0.41201,0.22961,1.49549,1.58904,1.33404,0.000827748,0.000827748,0.000827748
87,86.9788,0.93944,0.77437,0.99719,0.46546,0.43312,0.40526,0.2266,1.48153,1.56705,1.32171,0.000820675,0.000820675,0.000820675
88,87.9461,0.92983,0.75685,0.99848,0.48598,0.40106,0.36684,0.21538,1.41708,1.72821,1.26776,0.000813601,0.000813601,0.000813601
89,88.8985,0.96217,0.77444,0.99919,0.45496,0.42183,0.36966,0.21022,1.4355,1.79396,1.2616,0.000806528,0.000806528,0.000806528
90,89.881,0.95275,0.75957,0.98369,0.42146,0.45588,0.37526,0.21665,1.4382,1.60692,1.254,0.000799454,0.000799454,0.000799454
91,90.836,0.91602,0.77669,1.00316,0.45175,0.43058,0.384,0.22913,1.40413,1.57301,1.24066,0.00079238,0.00079238,0.00079238
92,91.8138,0.90303,0.73034,0.98404,0.38312,0.48636,0.38233,0.2261,1.40626,1.53879,1.24421,0.000785307,0.000785307,0.000785307
93,92.7704,0.91474,0.73065,0.98108,0.46384,0.42641,0.3872,0.22866,1.45254,1.50731,1.31143,0.000778233,0.000778233,0.000778233
94,93.741,0.90374,0.74698,0.97426,0.43683,0.4627,0.37234,0.2211,1.44067,1.50273,1.27903,0.00077116,0.00077116,0.00077116
95,94.8008,0.89808,0.74545,0.97486,0.39319,0.48925,0.37938,0.23001,1.45232,1.47885,1.27006,0.000764086,0.000764086,0.000764086
96,95.8047,0.92103,0.72201,0.9774,0.49842,0.39011,0.38868,0.25063,1.42786,1.45335,1.25968,0.000757013,0.000757013,0.000757013
97,96.7917,0.93242,0.72458,0.97537,0.44561,0.39824,0.37543,0.2416,1.38975,1.50147,1.24301,0.000749939,0.000749939,0.000749939
98,97.7769,0.95572,0.74356,0.99165,0.37861,0.46464,0.3594,0.22062,1.40432,1.61889,1.24994,0.000742866,0.000742866,0.000742866
99,98.7505,0.90093,0.71028,0.96545,0.42834,0.4424,0.362,0.22522,1.42885,1.65015,1.26717,0.000735792,0.000735792,0.000735792
100,99.7137,0.8634,0.70314,0.96123,0.42793,0.42481,0.34241,0.21945,1.37153,1.64194,1.25119,0.000728719,0.000728719,0.000728719
101,100.659,0.90097,0.71998,0.98573,0.44032,0.44547,0.3581,0.22356,1.3403,1.5897,1.24773,0.000721645,0.000721645,0.000721645
102,101.666,0.91415,0.74935,0.99053,0.40886,0.43305,0.34967,0.22211,1.35027,1.55127,1.24769,0.000714571,0.000714571,0.000714571
103,102.662,0.86801,0.69939,0.96245,0.43489,0.38598,0.36977,0.23078,1.36966,1.52218,1.24414,0.000707498,0.000707498,0.000707498
104,103.641,0.8474,0.67724,0.95211,0.46295,0.41282,0.39655,0.24423,1.39999,1.4674,1.26056,0.000700424,0.000700424,0.000700424
105,104.594,0.85232,0.67853,0.95788,0.40911,0.42717,0.38936,0.24771,1.40487,1.47651,1.25067,0.000693351,0.000693351,0.000693351
106,105.59,0.88626,0.69004,0.96278,0.38198,0.43708,0.37277,0.2206,1.47286,1.52262,1.28749,0.000686277,0.000686277,0.000686277
107,106.539,0.84487,0.65911,0.94461,0.45956,0.39219,0.37346,0.21719,1.49596,1.55368,1.3118,0.000679204,0.000679204,0.000679204
108,107.511,0.86107,0.6727,0.96238,0.45064,0.4351,0.36477,0.20251,1.48924,1.69632,1.30929,0.00067213,0.00067213,0.00067213
109,108.48,0.85468,0.67195,0.96409,0.45763,0.40105,0.3595,0.20306,1.49561,1.74265,1.30727,0.000665057,0.000665057,0.000665057
110,109.46,0.83609,0.68381,0.9549,0.45041,0.41206,0.36137,0.2063,1.47782,1.62651,1.29652,0.000657983,0.000657983,0.000657983
111,110.42,0.88208,0.71019,0.97576,0.42494,0.43708,0.36289,0.21504,1.45938,1.58907,1.30268,0.000650909,0.000650909,0.000650909
112,111.484,0.8442,0.65427,0.94669,0.45915,0.40795,0.35184,0.21564,1.4771,1.58698,1.32405,0.000643836,0.000643836,0.000643836
113,112.449,0.86154,0.66793,0.94863,0.44601,0.41339,0.35108,0.21435,1.4898,1.57448,1.34084,0.000636762,0.000636762,0.000636762
114,113.454,0.87076,0.68722,0.95735,0.34996,0.44729,0.32657,0.20113,1.49155,1.56586,1.40502,0.000629689,0.000629689,0.000629689
115,114.422,0.82699,0.65327,0.94539,0.3546,0.46356,0.34856,0.20857,1.50003,1.55205,1.3935,0.000622615,0.000622615,0.000622615
116,115.415,0.82751,0.63177,0.93244,0.39056,0.41162,0.34587,0.20475,1.48253,1.56324,1.37009,0.000615542,0.000615542,0.000615542
117,116.42,0.85561,0.65333,0.94141,0.37039,0.44899,0.32954,0.19685,1.47952,1.58063,1.38906,0.000608468,0.000608468,0.000608468
118,117.391,0.822,0.64255,0.94759,0.39267,0.43988,0.34375,0.21523,1.44964,1.60851,1.33786,0.000601395,0.000601395,0.000601395
119,118.354,0.87119,0.67652,0.95351,0.4993,0.37531,0.35224,0.21836,1.43751,1.59888,1.32227,0.000594321,0.000594321,0.000594321
120,119.336,0.8243,0.64035,0.95112,0.46541,0.41633,0.36751,0.22852,1.41509,1.56585,1.3326,0.000587248,0.000587248,0.000587248
121,120.297,0.8371,0.66091,0.95032,0.4801,0.38974,0.35796,0.22971,1.42541,1.55739,1.33364,0.000580174,0.000580174,0.000580174
122,121.371,0.8316,0.64429,0.94092,0.41306,0.40452,0.33671,0.21325,1.44134,1.61624,1.33159,0.0005731,0.0005731,0.0005731
123,122.322,0.84168,0.63821,0.95238,0.42105,0.40323,0.34249,0.21502,1.44842,1.64971,1.34339,0.000566027,0.000566027,0.000566027
124,123.306,0.86163,0.64976,0.94765,0.42764,0.37425,0.30847,0.19479,1.44585,1.72576,1.35158,0.000558953,0.000558953,0.000558953
125,124.275,0.84699,0.64211,0.93894,0.42587,0.39606,0.3162,0.19916,1.44927,1.71361,1.34575,0.00055188,0.00055188,0.00055188
126,125.232,0.81329,0.65105,0.96398,0.38677,0.43458,0.33999,0.22415,1.42867,1.6437,1.31152,0.000544806,0.000544806,0.000544806
127,126.177,0.82302,0.62108,0.93376,0.45194,0.38116,0.34056,0.22668,1.40483,1.65846,1.29187,0.000537733,0.000537733,0.000537733
128,127.153,0.85457,0.65783,0.94662,0.39137,0.45893,0.35446,0.23595,1.37551,1.6898,1.32146,0.000530659,0.000530659,0.000530659
129,128.155,0.88467,0.68847,0.97635,0.39509,0.44852,0.34581,0.23614,1.39587,1.72337,1.33761,0.000523586,0.000523586,0.000523586
130,129.121,0.83852,0.62694,0.93656,0.42839,0.41693,0.36489,0.24589,1.38907,1.71151,1.30555,0.000516512,0.000516512,0.000516512
131,130.065,0.84038,0.63688,0.95771,0.43746,0.4436,0.37924,0.25404,1.39247,1.71319,1.29482,0.000509438,0.000509438,0.000509438
132,131.09,0.82881,0.63044,0.94537,0.43465,0.45751,0.36065,0.23707,1.38057,1.64738,1.31232,0.000502365,0.000502365,0.000502365
133,132.037,0.82596,0.62556,0.93028,0.40434,0.42792,0.3456,0.22996,1.4288,1.61419,1.35062,0.000495291,0.000495291,0.000495291
134,132.988,0.82947,0.62519,0.93763,0.44769,0.4008,0.35674,0.22356,1.47691,1.58708,1.35586,0.000488218,0.000488218,0.000488218
135,133.95,0.80992,0.61874,0.93481,0.49713,0.37826,0.3608,0.23011,1.47301,1.5845,1.32395,0.000481144,0.000481144,0.000481144
136,134.96,0.84685,0.63104,0.92963,0.46202,0.42295,0.36124,0.23826,1.42945,1.63787,1.29955,0.000474071,0.000474071,0.000474071
137,135.915,0.8227,0.62344,0.93467,0.44853,0.41804,0.37337,0.24343,1.43435,1.62401,1.30811,0.000466997,0.000466997,0.000466997
